"Mês/Ano";"Tipo";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Valor Transferido";
"10/2021";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 744.013,34";
"10/2021";"Legais, Voluntárias e Específicas";"JUSTICA, CIDADANIA E SEGURANCA PUBLICA";"14 - Direitos da cidadania";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 707.833,98";
"11/2021";"Legais, Voluntárias e Específicas";"MELHORIA DO AMBIENTE DE NEGOCIOS E DA PRODUTIVIDADE";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 294.815,00";
"08/2021";"Legais, Voluntárias e Específicas";"REDE DE SUPORTE SOCIAL AO DEPENDENTE QUIMICO: CUIDADOS,PREVENCAO E REINSERCAO SOCIAL";"14 - Direitos da cidadania";"Entidades Sem Fins Lucrativos";"AC";"R$ 100.000,00";
"12/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 530.995,72";
"05/2021";"Legais, Voluntárias e Específicas";"ATENCAO ESPECIALIZADA A SAUDE";"10 - Saúde";"Entidades Sem Fins Lucrativos";"AC";"R$ 45.697,17";
"12/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"20 - Agricultura";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 436.260,69";
"11/2021";"Legais, Voluntárias e Específicas";"SEGURANCA PUBLICA, COMBATE A CORRUPCAO, AO CRIME ORGANIZADO E AO CRIME VIOLENTO";"06 - Segurança pública";"Sem Informação";"AC";"R$ 28.231.529,23";
"09/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"-R$ 451.711,39";
"11/2021";"Legais, Voluntárias e Específicas";"ESTATISTICAS E AVALIACOES EDUCACIONAIS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 51.597,91";
"10/2021";"Legais, Voluntárias e Específicas";"ATENCAO ESPECIALIZADA A SAUDE";"10 - Saúde";"Entidades Sem Fins Lucrativos";"AC";"R$ 154.792,21";
"04/2021";"Legais, Voluntárias e Específicas";"MELHORIA DO AMBIENTE DE NEGOCIOS E DA PRODUTIVIDADE";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 20.347,17";
"12/2021";"Legais, Voluntárias e Específicas";"PROTECAO A VIDA, FORTALECIMENTO DA FAMILIA, PROMOCAO E DEFESA DOS DIREITOS HUMANOS PARA TODOS";"14 - Direitos da cidadania";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 130.572,47";
"09/2021";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.344.040,49";
"12/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"20 - Agricultura";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.864.737,60";
"07/2021";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 652.922,81";
"10/2021";"Legais, Voluntárias e Específicas";"SEGURANCA PUBLICA, COMBATE A CORRUPCAO, AO CRIME ORGANIZADO E AO CRIME VIOLENTO";"06 - Segurança pública";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.897.305,44";
"12/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"19 - Ciência e Tecnologia";"Administração Pública Municipal";"AC";"R$ 400.000,00";
"09/2021";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 335.632,18";
"03/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.119.522,99";
"04/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO E PROMOCAO DO TURISMO";"23 - Comércio e serviços";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 150.000,00";
"10/2021";"Legais, Voluntárias e Específicas";"CONSERVACAO E USO SUSTENTAVEL DA BIODIVERSIDADE E DOS RECURSOS NATURAIS";"18 - Gestão ambiental";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.500.000,00";
"09/2021";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 235.082,51";
"10/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO E PROMOCAO DO TURISMO";"23 - Comércio e serviços";"Administração Pública Municipal";"AC";"R$ 130.285,71";
"06/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"20 - Agricultura";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 36.173.862,00";
"05/2021";"Legais, Voluntárias e Específicas";"MELHORIA DO AMBIENTE DE NEGOCIOS E DA PRODUTIVIDADE";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 46.644,93";
"08/2021";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 7.326.000,00";
"08/2021";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 963.415,00";
"10/2021";"Legais, Voluntárias e Específicas";"REDE DE SUPORTE SOCIAL AO DEPENDENTE QUIMICO: CUIDADOS,PREVENCAO E REINSERCAO SOCIAL";"14 - Direitos da cidadania";"Entidades Sem Fins Lucrativos";"AC";"R$ 100.000,00";
"07/2021";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 153.877,15";
"10/2021";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 396.266,00";
"08/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 1.468.387,00";
"10/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 477.500,00";
"12/2021";"Legais, Voluntárias e Específicas";"CONSOLIDACAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"08 - Assistência social";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.600.000,00";
"08/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"-R$ 17.088,49";
"03/2021";"Legais, Voluntárias e Específicas";"ATENCAO ESPECIALIZADA A SAUDE";"10 - Saúde";"Entidades Sem Fins Lucrativos";"AC";"R$ 45.697,17";
"12/2021";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"AC";"R$ 34.800,00";
"04/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"R$ 929.900,64";
"10/2021";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 628.000,00";
"10/2021";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 1.443.610,02";
"06/2021";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA DE QUALIDADE";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.909.311,63";
"05/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"R$ 118.981,20";
"08/2021";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 551.137,38";
"06/2021";"Legais, Voluntárias e Específicas";"RECURSOS HIDRICOS";"18 - Gestão ambiental";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 27.280,00";
"09/2021";"Legais, Voluntárias e Específicas";"EDUCACAO INFANTIL";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 202.836,06";
"12/2021";"Legais, Voluntárias e Específicas";"ATENCAO ESPECIALIZADA A SAUDE";"10 - Saúde";"Entidades Sem Fins Lucrativos";"AC";"R$ 154.792,21";
"06/2021";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 508.571,43";
"07/2021";"Legais, Voluntárias e Específicas";"JUSTICA, CIDADANIA E SEGURANCA PUBLICA";"06 - Segurança pública";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.233.776,99";
"09/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"15 - Urbanismo";"Administração Pública Municipal";"AC";"-R$ 29,95";
"09/2021";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 659.489,54";
"07/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 345.280,88";
"08/2021";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Fundo Público";"AC";"R$ 303.729,71";
"11/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"-R$ 21.300,10";
"01/2021";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 921.095,24";
"12/2021";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 2.822.496,92";
"03/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Municipal";"AC";"R$ 12.341.462,29";
"04/2021";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 399.880,00";
"12/2021";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 464.000,00";
"10/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 671.000,00";
"12/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 2.817.408,58";
"03/2021";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA DE QUALIDADE";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.181.761,66";
"06/2021";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 286.500,00";
"12/2021";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 2.387.500,00";
"08/2021";"Legais, Voluntárias e Específicas";"ATENCAO ESPECIALIZADA A SAUDE";"10 - Saúde";"Entidades Sem Fins Lucrativos";"AC";"R$ 45.697,17";
"06/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 1.790.360,58";
"10/2021";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 300.000,00";
"10/2021";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"AC";"R$ 25.000,00";
"05/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 252.403,00";
"04/2021";"Legais, Voluntárias e Específicas";"INCLUSAO SOCIAL POR MEIO DO BOLSA FAMILIA E DA ARTICULACAO DE POLITICAS PUBLICAS";"08 - Assistência social";"Fundo Público";"AC";"R$ 256.386,30";
"12/2021";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 1.840.811,99";
"03/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 455.938,69";
"11/2021";"Legais, Voluntárias e Específicas";"SEGURANCA ALIMENTAR E NUTRICIONAL";"10 - Saúde";"Fundo Público";"AC";"R$ 223.802,60";
"06/2021";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 667.455,75";
"08/2021";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 1.910.244,40";
"08/2021";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL, TERRITORIAL E URBANO";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 723.114,66";
"10/2021";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 1.294.179,97";
"06/2021";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 588.571,43";
"10/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Estadual ou do Distrito Federal";"AC";"-R$ 489.200,73";
"05/2021";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA DE QUALIDADE";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 388.182,03";
"11/2021";"Legais, Voluntárias e Específicas";"GESTAO DE RISCOS E DE DESASTRES";"06 - Segurança pública";"Administração Pública Estadual ou do Distrito Federal";"AC";"-R$ 5.000,00";
"08/2021";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA DE QUALIDADE";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.375.614,80";
"10/2021";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 239.696,26";
"07/2021";"Legais, Voluntárias e Específicas";"SEGURANCA ALIMENTAR E NUTRICIONAL";"10 - Saúde";"Fundo Público";"AC";"R$ 179.000,00";
"10/2021";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 2.548.704,00";
"01/2021";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA DE QUALIDADE";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.188.148,40";
"11/2021";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 191.000,00";
"12/2021";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 1.375.741,99";
"08/2021";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 4.421.500,00";
"04/2021";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA DE QUALIDADE";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.648.746,83";
