"Mês/Ano";"Tipo";"Programa Orçamentário";"Função";"Tipo de Favorecido";"UF";"Valor Transferido";
"01/2018";"Legais, Voluntárias e Específicas";"PROMOCAO, PROTECAO E DEFESA DOS DIREITOS HUMANOS DE CRIANCAS E ADOLESCENTES";"14 - Direitos da cidadania";"Entidades Sem Fins Lucrativos";"AC";"R$ 399.345,22";
"10/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO E PROMOCAO DO TURISMO";"23 - Comércio e serviços";"Administração Pública Municipal";"AC";"R$ 29.055,00";
"01/2018";"Legais, Voluntárias e Específicas";"MORADIA DIGNA";"15 - Urbanismo";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 145.913,24";
"04/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.284.754,10";
"08/2018";"Legais, Voluntárias e Específicas";"MORADIA DIGNA";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 2.589,84";
"07/2018";"Legais, Voluntárias e Específicas";"MORADIA DIGNA";"15 - Urbanismo";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 183.760,14";
"09/2018";"Legais, Voluntárias e Específicas";"URBANIZAÇÃO, REGULARIZAÇÃO FUNDIÁRIA E INTEGRAÇÃO DE ASSENTAMENTOS PRECÁRIOS";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 575.439,24";
"08/2018";"Legais, Voluntárias e Específicas";"CONSOLIDACAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"08 - Assistência social";"Administração Pública Municipal";"AC";"R$ 135.000,00";
"05/2018";"Legais, Voluntárias e Específicas";"CONSOLIDACAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"08 - Assistência social";"Administração Pública Municipal";"AC";"R$ 105.000,00";
"03/2018";"Legais, Voluntárias e Específicas";"MORADIA DIGNA";"15 - Urbanismo";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 42.328,47";
"06/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 265.150,00";
"07/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 839.821,35";
"08/2018";"Legais, Voluntárias e Específicas";"DRENAGEM URBANA E CONTROLE DE EROSAO MARITIMA E FLUVIAL";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 649.698,50";
"06/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.341.436,09";
"10/2018";"Legais, Voluntárias e Específicas";"CULTURA: DIMENSAO ESSENCIAL DO DESENVOLVIMENTO";"13 - Cultura";"Administração Pública Municipal";"AC";"R$ 125.000,00";
"07/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.471.617,49";
"12/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 1.200.000,00";
"03/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"21 - Organização agrária";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 200.000,00";
"11/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"19 - Ciência e Tecnologia";"Administração Pública Municipal";"AC";"R$ 268.186,00";
"09/2018";"Legais, Voluntárias e Específicas";"RECURSOS HIDRICOS";"18 - Gestão ambiental";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 747.000,00";
"06/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO DA INDUSTRIA, COMERCIO E SERVICOS";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 23.500,00";
"06/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 110.414,76";
"05/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 610.389,31";
"10/2018";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 146.250,00";
"09/2018";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 1.500.000,00";
"08/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 507.389,95";
"10/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO DA INDUSTRIA, COMERCIO E SERVICOS";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 40.000,00";
"11/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.703.676,33";
"12/2018";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 2.610.000,00";
"11/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 8.862.494,70";
"02/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO E PROMOCAO DO TURISMO";"23 - Comércio e serviços";"Administração Pública Municipal";"AC";"R$ 591.908,15";
"11/2018";"Legais, Voluntárias e Específicas";"ESPORTE E LAZER DA CIDADE";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 128.000,00";
"04/2018";"Legais, Voluntárias e Específicas";"MORADIA DIGNA";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 343.217,53";
"10/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 157.149,94";
"01/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.180.158,62";
"07/2018";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 896.064,82";
"02/2018";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.420.095,99";
"05/2018";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 49.170,00";
"07/2018";"Legais, Voluntárias e Específicas";"MOBILIDADE URBANA E TRANSITO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 277.509,89";
"03/2018";"Legais, Voluntárias e Específicas";"PROMOCAO E DEFESA DOS DIREITOS HUMANOS";"14 - Direitos da cidadania";"Entidades Sem Fins Lucrativos";"AC";"R$ 204.100,00";
"06/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"AC";"R$ 273.606,31";
"09/2018";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.114.575,00";
"01/2018";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 872.649,24";
"10/2018";"Legais, Voluntárias e Específicas";"SERVICOS URBANOS DE AGUA E ESGOTO";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 552.148,85";
"04/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 1.531.627,55";
"12/2018";"Legais, Voluntárias e Específicas";"HABITACAO DE INTERESSE SOCIAL";"16 - Habitação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 8.399,36";
"07/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 211.500,00";
"02/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 305.916,52";
"05/2018";"Legais, Voluntárias e Específicas";"PROMOCAO E DEFESA DOS DIREITOS HUMANOS";"14 - Direitos da cidadania";"Entidades Sem Fins Lucrativos";"AC";"R$ 200.000,00";
"11/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 300.000,00";
"10/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 3.913.260,29";
"10/2018";"Legais, Voluntárias e Específicas";"RECURSOS HIDRICOS";"18 - Gestão ambiental";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 27.500,00";
"10/2018";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL, ABASTECIMENTO E COMERCIALIZACAO";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 97.500,00";
"11/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.057.177,79";
"10/2018";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 100.000,00";
"06/2018";"Legais, Voluntárias e Específicas";"MORADIA DIGNA";"15 - Urbanismo";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 21.507,08";
"06/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 1.018.335,09";
"06/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"19 - Ciência e Tecnologia";"Administração Pública Municipal";"AC";"R$ 1.200.000,00";
"05/2018";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 508.482,00";
"07/2018";"Legais, Voluntárias e Específicas";"REFORMA AGRARIA E GOVERNANCA FUNDIARIA";"21 - Organização agrária";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 500.000,00";
"09/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 9.468,52";
"01/2018";"Legais, Voluntárias e Específicas";"SERVICOS URBANOS DE AGUA E ESGOTO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 200.000,00";
"06/2018";"Legais, Voluntárias e Específicas";"DEFESA NACIONAL";"05 - Defesa nacional";"Administração Pública Municipal";"AC";"R$ 2.449.610,00";
"11/2018";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 3.482.435,92";
"10/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 534.064,74";
"04/2018";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 2.027.614,39";
"11/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO E PROMOCAO DO TURISMO";"23 - Comércio e serviços";"Administração Pública Municipal";"AC";"R$ 383.955,00";
"12/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 401.063,85";
"11/2018";"Legais, Voluntárias e Específicas";"CONSOLIDACAO DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"08 - Assistência social";"Administração Pública Municipal";"AC";"R$ 90.000,00";
"04/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 55.499,92";
"08/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO DA INDUSTRIA, COMERCIO E SERVICOS";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 56.500,00";
"10/2018";"Legais, Voluntárias e Específicas";"MOBILIDADE URBANA E TRANSITO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 147.930,00";
"06/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 473.922,59";
"11/2018";"Legais, Voluntárias e Específicas";"PROMOCAO E DEFESA DOS DIREITOS HUMANOS";"14 - Direitos da cidadania";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 100.000,00";
"12/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 1.080.624,38";
"05/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO DA INDUSTRIA, COMERCIO E SERVICOS";"22 - Indústria";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 4.000,00";
"12/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.088.284,01";
"03/2018";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 899.220,23";
"04/2018";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 243.750,00";
"12/2018";"Legais, Voluntárias e Específicas";"RECURSOS HIDRICOS";"18 - Gestão ambiental";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 33.000,00";
"04/2018";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 147.930,00";
"09/2018";"Legais, Voluntárias e Específicas";"SERVIÇOS URBANOS DE ÁGUA E ESGOTO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 248.663,86";
"03/2018";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 347.100,00";
"12/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 771.975,27";
"11/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 1.749.665,07";
"11/2018";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 132.973,25";
"03/2018";"Legais, Voluntárias e Específicas";"ESPORTE E LAZER DA CIDADE";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 97.500,00";
"11/2018";"Legais, Voluntárias e Específicas";"HABITACAO DE INTERESSE SOCIAL";"16 - Habitação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 103.098,11";
"02/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"AC";"R$ 240.469,02";
"07/2018";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 671.189,04";
"06/2018";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 487.500,00";
"12/2018";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 5.993.479,44";
"02/2018";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Agentes Intermediários";"AC";"-R$ 15.791.045,27";
"11/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"10 - Saúde";"Administração Pública Municipal";"AC";"R$ 923.198,67";
"12/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 1.917.727,32";
"06/2018";"Legais, Voluntárias e Específicas";"PESCA E AQUICULTURA";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 392.000,00";
"05/2018";"Legais, Voluntárias e Específicas";"ESPORTE, CIDADANIA E DESENVOLVIMENTO";"27 - Desporto e lazer";"Administração Pública Municipal";"AC";"R$ 182.988,00";
"08/2018";"Legais, Voluntárias e Específicas";"FORTALECIMENTO DO SISTEMA UNICO DE SAUDE (SUS)";"10 - Saúde";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 351.000,00";
"05/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 3.582.755,19";
"04/2018";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 885.879,28";
"07/2018";"Legais, Voluntárias e Específicas";"SEGURANCA ALIMENTAR E NUTRICIONAL";"10 - Saúde";"Fundo Público";"AC";"R$ 138.000,00";
"09/2018";"Legais, Voluntárias e Específicas";"SANEAMENTO BASICO";"17 - Saneamento";"Administração Pública Municipal";"AC";"R$ 1.012.766,67";
"11/2018";"Legais, Voluntárias e Específicas";"DESENVOLVIMENTO REGIONAL E TERRITORIAL";"21 - Organização agrária";"Administração Pública Municipal";"AC";"R$ 1.707.271,94";
"12/2018";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 100.000,00";
"11/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Entidades Sem Fins Lucrativos";"AC";"R$ 21.022,00";
"09/2018";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 878.206,97";
"10/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 360.403,63";
"12/2018";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 196.820,00";
"03/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 3.340.747,77";
"08/2018";"Legais, Voluntárias e Específicas";"MORADIA DIGNA";"15 - Urbanismo";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 114.713,18";
"12/2018";"Legais, Voluntárias e Específicas";"AGROPECUARIA SUSTENTAVEL";"20 - Agricultura";"Administração Pública Municipal";"AC";"R$ 1.072.500,00";
"02/2018";"Legais, Voluntárias e Específicas";"EDUCACAO DE QUALIDADE PARA TODOS";"12 - Educação";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 673.393,31";
"03/2018";"Legais, Voluntárias e Específicas";"EDUCACAO BASICA";"12 - Educação";"Administração Pública Municipal";"AC";"R$ 51.097,76";
"11/2018";"Legais, Voluntárias e Específicas";"OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA";"28 - Encargos especiais";"Administração Pública Estadual ou do Distrito Federal";"AC";"R$ 2.509.357,32";
"07/2018";"Legais, Voluntárias e Específicas";"PLANEJAMENTO URBANO";"15 - Urbanismo";"Administração Pública Municipal";"AC";"R$ 344.890,00";
